UserId,SendDate,OfferId
1326865,29-11-2016,5
1326865,01-12-2016,4
1326865,07-12-2016,8
1326865,15-12-2016,9
1326865,19-12-2016,1
1326865,21-12-2016,6
1326865,27-12-2016,2
1326865,02-01-2017,8
1326865,04-01-2017,9
1326865,14-01-2017,2
1326865,16-01-2017,8
1326865,20-01-2017,1
1326865,24-01-2017,5
1326865,19-03-2017,10
1326865,26-04-2017,8
1326865,28-05-2017,7
1326865,01-06-2017,1
1326865,29-06-2017,6
1326865,17-07-2017,2
1326865,21-09-2017,9
1326865,29-09-2017,10
1333278,05-12-2016,9
1333278,07-12-2016,5
1333278,08-01-2017,3
1333278,20-01-2017,6
1333278,22-01-2017,10
1333278,24-01-2017,7
1333278,03-02-2017,4
1333278,11-03-2017,4
1333278,23-03-2017,3
1333278,18-04-2017,10
1333278,22-04-2017,1
1333278,24-04-2017,4
1333278,26-04-2017,8
1333278,24-05-2017,2
1333278,03-06-2017,7
1333278,07-06-2017,5
1333278,15-06-2017,10
1333278,29-07-2017,7
1333278,08-08-2017,1
1333278,24-08-2017,6
1333278,01-09-2017,7
1333278,23-09-2017,3
1336967,23-11-2016,1
1336967,27-11-2016,8
1336967,29-11-2016,4
1336967,07-12-2016,7
1336967,09-12-2016,10
1336967,13-12-2016,3
1336967,15-12-2016,9
1336967,19-12-2016,9
1336967,08-01-2017,5
1336967,12-01-2017,8
1336967,20-01-2017,7
1336967,24-01-2017,5
1336967,15-02-2017,3
1336967,17-02-2017,1
1336967,05-03-2017,4
1336967,13-03-2017,9
1336967,31-03-2017,2
1336967,04-04-2017,4
1336967,22-04-2017,7
1336967,14-05-2017,4
1336967,20-05-2017,7
1336967,11-06-2017,2
1336967,25-06-2017,10
1336967,29-06-2017,3
1336967,04-08-2017,4
1336967,10-08-2017,1
1336967,12-08-2017,3
1336967,01-09-2017,8
1336967,07-09-2017,10
1336967,17-09-2017,8
1336967,27-09-2017,7
1339784,23-11-2016,9
1339784,29-11-2016,8
1339784,05-12-2016,7
1339784,21-12-2016,3
1339784,10-01-2017,7
1339784,03-03-2017,4
1339784,27-03-2017,2
1339784,08-04-2017,4
1339784,18-04-2017,8
1339784,24-04-2017,6
1339784,10-05-2017,2
1339784,01-06-2017,5
1339784,03-06-2017,1
1339784,11-06-2017,2
1339784,21-06-2017,9
1339784,01-07-2017,10
1339784,17-07-2017,8
1339784,18-08-2017,1
1339784,17-09-2017,8
1339784,19-09-2017,7
1339784,29-09-2017,1
1339829,29-11-2016,7
1339829,21-12-2016,10
1339829,31-12-2016,10
1339829,02-01-2017,9
1339829,08-01-2017,9
1339829,03-02-2017,1
1339829,19-02-2017,1
1339829,07-03-2017,9
1339829,25-03-2017,8
1339829,06-04-2017,5
1339829,16-04-2017,9
1339829,20-04-2017,2
1339829,22-04-2017,8
1339829,28-04-2017,3
1339829,02-05-2017,4
1339829,23-06-2017,3
1339829,29-06-2017,2
1339829,03-07-2017,8
1339829,06-08-2017,3
1339829,19-09-2017,5
1346806,23-11-2016,4
1346806,05-12-2016,5
1346806,07-12-2016,3
1346806,17-12-2016,6
1346806,21-12-2016,1
1346806,29-12-2016,1
1346806,31-12-2016,10
1346806,06-01-2017,7
1346806,18-01-2017,3
